,2020-02-1,14.6,27.4,0,11.2,11.8,SW,37,17:18,20.4,45,5,ESE,11,1021.4,24.9,45,3,WSW,20,1017.7
,2020-02-2,17.0,34.8,0,9.8,12.9,SSE,37,15:28,23.4,45,0,E,13,1020.3,33.1,20,0,SE,15,1015.4
,2020-02-3,18.2,38.4,0,13.4,12.8,ESE,39,03:13,24.8,45,0,E,15,1016.8,37.2,19,0,E,11,1012.3
,2020-02-4,22.6,42.7,0,14.0,10.6,E,35,01:48,29.6,32,5,E,15,1011.7,41.8,12,2,SE,9,1007.3
,2020-02-5,22.4,34.9,0,16.4,12.7,NW,41,17:10,31.2,31,2,NNW,9,1009.7,30.5,48,3,W,11,1008.7
,2020-02-6,21.2,30.9,0,6.8,11.0,W,24,13:02,25.3,68,2,W,7,1010.5,29.0,53,2,W,11,1008.7
,2020-02-7,21.0,29.1,0,10.2,8.8,WSW,24,14:56,24.1,66,1,SSW,7,1010.5,28.3,52,5,SW,15,1008.4
,2020-02-8,20.0,28.0,0,8.2,11.6,SSW,50,21:28,25.1,69,1,SSW,9,1009.0,26.3,54,1,WSW,15,1008.2
,2020-02-9,15.2,27.8,0,10.4,12.6,SW,46,15:23,19.0,51,0,SSE,17,1015.1,24.3,45,0,SW,24,1011.3
,2020-02-10,15.3,32.9,0,9.8,12.4,ESE,37,03:10,20.2,49,0,E,13,1014.8,31.2,20,0,SE,13,1009.5
,2020-02-11,19.3,34.8,0,12.0,8.8,NE,39,13:00,22.7,47,7,E,9,1012.5,33.4,31,2,ENE,15,1009.3
,2020-02-12,19.5,34.3,0,8.8,12.0,ENE,30,00:19,25.4,56,7,ENE,11,1013.6,32.1,41,5,WSW,15,1010.5
,2020-02-13,21.6,36.1,0,10.6,11.2,SW,37,16:48,28.5,45,1,E,15,1012.8,31.3,42,6,SSW,17,1010.1
,2020-02-14,23.8,40.6,0,11.8,12.3,ESE,33,00:41,29.5,44,2,ENE,15,1010.3,36.1,30,2,W,15,1006.5
,2020-02-15,22.3,25.6,0,11.6,3.2,SW,31,16:16,24.2,72,7,WNW,9,1010.7,23.2,79,8,WSW,17,1010.6
,2020-02-16,18.0,26.3,0,4.0,12.3,SW,37,17:37,21.9,56,2,S,13,1015.8,25.6,48,0,SW,19,1014.5
,2020-02-17,18.2,32.0,0,6.4,12.3,E,37,23:51,23.3,52,2,ESE,11,1020.2,30.6,36,1,SSW,15,1016.4
,2020-02-18,16.9,33.5,0,12.0,10.5,E,37,01:27,22.1,46,6,E,15,1018.2,32.2,26,7,E,11,1013.6
,2020-02-19,22.1,36.2,0,11.6,9.1,E,33,09:23,25.5,39,7,E,15,1013.3,35.5,27,6,SSW,11,1010.3
,2020-02-20,24.6,37.1,0,11.2,10.0,ESE,46,21:07,28.0,37,4,E,13,1014.0,36.9,18,6,E,13,1011.5
,2020-02-21,22.9,31.9,0,9.8,0.8,NE,33,14:24,25.1,40,7,E,9,1016.1,29.8,30,7,ENE,15,1013.2
,2020-02-22,20.1,27.7,1.0,9.6,0.5,NE,22,11:45,21.6,82,8,NE,7,1013.6,27.0,55,7,NE,7,1010.3
,2020-02-23,19.6,33.5,0,2.6,10.2,SE,37,22:26,25.5,60,3,ENE,11,1012.9,32.8,37,5,S,9,1009.2
,2020-02-24,21.0,32.0,0,9.4,9.7,ESE,35,05:34,25.1,61,6,ESE,13,1013.0,31.0,46,6,ESE,11,1010.0
,2020-02-25,21.7,34.4,1.0,7.6,9.7,NNE,80,16:56,26.8,59,1,ESE,9,1013.1,32.2,43,2,ESE,13,1010.9
,2020-02-26,21.1,29.7,19.2,10.6,5.8,NE,44,14:22,24.9,61,2,E,15,1013.8,27.3,63,5,ENE,15,1014.3
,2020-02-27,22.3,26.6,2.0,4.8,0.0,NE,54,12:59,25.1,67,7,ENE,11,1011.4,23.4,73,7,NE,13,1010.1
,2020-02-28,21.4,30.8,11.0,3.2,7.0,ENE,46,12:43,23.2,69,7,NE,19,1008.3,29.4,49,7,NE,17,1006.2
,2020-02-29,20.9,27.7,0.2,7.4,11.6,W,28,12:46,24.2,67,6,WNW,9,1008.6,25.6,65,5,WSW,15,1007.6
