14.6 27.4 20.4 24.9
17.0 34.8 23.4 33.1
18.2 38.4 24.8 37.2
22.6 42.7 29.6 41.8
22.4 34.9 31.2 30.5
21.2 30.9 25.3 29.0
21.0 29.1 24.1 28.3
20.0 28.0 25.1 26.3
15.2 27.8 19.0 24.3
15.3 32.9 20.2 31.2
19.3 34.8 22.7 33.4
19.5 34.3 25.4 32.1
21.6 36.1 28.5 31.3
23.8 40.6 29.5 36.1
22.3 25.6 24.2 23.2
18.0 26.3 21.9 25.6
18.2 32.0 23.3 30.6
16.9 33.5 22.1 32.2
22.1 36.2 25.5 35.5
24.6 37.1 28.0 36.9
22.9 31.9 25.1 29.8
20.1 27.7 21.6 27.0
19.6 33.5 25.5 32.8
21.0 32.0 25.1 31.0
21.7 34.4 26.8 32.2
21.1 29.7 24.9 27.3
22.3 26.6 25.1 23.4
21.4 30.8 23.2 29.4
20.9 27.7 24.2 25.6
